id,channel,isComplete,label,shapeCluster,subCluster,labelConfidence,outlierType,outlierShape,firmwareVersion,type,activePower,activePowerDelta,reactivePower,apparentPower,current,voltage,phase,hertz,energy,energy_delta,coilReversed,timestamp,time_delta,sensor
60599449,1,True,,,,,,,41,5,324,-19.0,-1987,5985,24.16,247.727,-80.5,50.0,326085.0,15.0,true,2017-12-31T23:59:54+00:00,,2000
60598680,1,True,,,,,,,41,5,343,-10,-1938,5909,23.939,246.858,-79.8,50.0,326070.0,15.0,true,2017-12-31T23:57:14+00:00,,2000
60597879,1,True,,,,,,,41,5,335,-4,-1968,5815,24.068,241.643,-80.1,50.0,326055.0,15.0,true,2017-12-31T23:54:34+00:00,,2000
60597145,1,True,,,,,,,41,5,396,26,-1872,5630,23.903,235.558,-77.6,50.0,326039.0,15.0,true,2017-12-31T23:51:54+00:00,,2000
60596351,1,True,,,,,,,41,5,351,3,-1945,5886,23.929,245.989,-79.4,50.0,326024.0,15.0,true,2017-12-31T23:49:14+00:00,,2000
60595546,1,True,,,,,,,41,5,327,15,-1921,5856,23.89,245.12,-80.1,50.0,326008.0,15.0,true,2017-12-31T23:46:34+00:00,,2000
60594771,1,True,,,,,,,41,5,341,-15,-1904,5846,23.85,245.12,-79.8,50.0,325992.0,15.0,true,2017-12-31T23:43:54+00:00,,2000
60593988,1,True,,,,,,,41,5,349,10,-1894,5815,23.893,243.381,-79.4,50.0,325977.0,15.0,true,2017-12-31T23:41:14+00:00,,2000
60593193,1,True,,,,,,,41,5,349,9,-1896,5818,23.906,243.381,-79.4,50.0,325961.0,15.0,true,2017-12-31T23:38:34+00:00,,2000
60592396,1,True,,,,,,,41,5,353,22,-1922,5811,23.878,243.381,-79.4,50.0,325946.0,15.0,true,2017-12-31T23:35:54+00:00,,2000
60591544,1,True,,,,,,,41,5,343,-10,-1821,5650,23.811,237.297,-79.1,50.0,325930.0,15.0,true,2017-12-31T23:33:14+00:00,,2000
60590721,1,True,,,,,,,41,5,384,-8,-1943,5764,23.943,240.773,-78.7,50.0,325914.0,15.0,true,2017-12-31T23:30:34+00:00,,2000
60589943,1,True,,,,,,,41,5,342,11,-1939,5926,24.093,245.989,-79.8,50.0,325899.0,15.0,true,2017-12-31T23:27:54+00:00,,2000
60589149,1,True,,,,,,,41,5,346,-2,-1974,5864,24.094,243.381,-79.8,50.0,325884.0,15.0,true,2017-12-31T23:25:14+00:00,,2000
60588364,1,True,,,,,,,41,5,326,3,-1986,5975,24.035,248.596,-80.5,50.0,325869.0,14.0,true,2017-12-31T23:22:34+00:00,,2000
60587568,1,True,,,,,,,41,5,331,-5,-1982,5928,24.015,246.858,-80.5,50.0,325854.0,15.0,true,2017-12-31T23:19:54+00:00,,2000
60586738,1,True,,,,,,,41,5,374,-5,-1922,5946,24.086,246.858,-78.7,50.0,325839.0,15.0,true,2017-12-31T23:17:14+00:00,,2000
60585885,1,True,,,,,,,41,5,335,16,-1956,5911,23.946,246.858,-80.1,50.0,325824.0,15.0,true,2017-12-31T23:14:34+00:00,,2000
60584972,1,True,,,,,,,41,5,337,-8,-1916,5855,23.804,245.989,-79.8,50.0,325808.0,15.0,true,2017-12-31T23:11:54+00:00,,2000
