date;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2018-01-1;3 474,71;3 446,19;3 440,23;3 387,46;3 346,52;3 335,01;3 333,29;3 331,47;3 281,41;3 276,77;3 303,04;3 330,04;3 417,72;3 439,02;3 442,62;3 448,26;3 456,51;3 488,88;3 495,30;3 490,72;3 497,55;3 498,78;3 474,08;3 442,43
2018-01-2;3 443,38;3 380,41;3 351,29;3 334,31;3 335,98;3 347,59;3 392,71;3 408,55;3 441,79;3 610,56;3 764,66;3 785,84;3 789,14;3 789,61;3 791,59;3 799,98;3 814,33;3 859,99;3 863,41;3 851,06;3 856,93;3 847,34;3 793,46;3 618,58
2018-01-3;3 541,81;3 442,30;3 385,54;3 342,41;3 346,26;3 364,21;3 434,37;3 438,78;3 547,61;3 847,59;3 906,41;3 932,54;3 938,72;3 940,22;3 940,64;3 949,79;3 964,25;4 015,51;4 016,59;4 004,43;4 006,74;3 996,19;3 938,12;3 774,29
2018-01-4;3 705,87;3 472,53;3 433,85;3 395,13;3 407,63;3 442,12;3 499,83;3 536,51;3 783,57;3 933,55;3 970,28;3 970,65;3 977,57;3 980,35;3 995,30;4 010,29;4 023,72;4 067,56;4 070,39;4 053,53;4 055,39;4 037,13;3 960,12;3 769,18
2018-01-5;3 583,33;3 461,38;3 401,35;3 372,71;3 377,89;3 428,16;3 471,69;3 513,72;3 692,70;3 848,27;3 901,23;3 912,96;3 918,70;3 921,16;3 924,45;3 932,67;3 933,58;3 962,95;3 965,03;3 958,12;3 956,59;3 944,81;3 897,86;3 598,38
2018-01-6;3 531,82;3 433,44;3 345,17;3 326,95;3 331,71;3 358,23;3 432,42;3 442,20;3 586,56;3 791,61;3 881,75;3 905,47;3 909,86;3 911,14;3 910,49;3 916,10;3 920,05;3 954,30;3 957,46;3 962,10;3 957,90;3 943,92;3 897,18;3 589,37
2018-01-7;3 543,42;3 446,19;3 389,18;3 339,37;3 347,71;3 366,80;3 409,18;3 440,25;3 529,57;3 719,85;3 786,27;3 814,84;3 818,48;3 815,04;3 827,54;3 845,01;3 851,61;3 946,00;3 950,57;3 934,67;3 931,95;3 922,37;3 830,85;3 610,92
2018-01-8;3 525,12;3 423,50;3 342,79;3 317,59;3 319,52;3 345,97;3 414,82;3 438,11;3 620,51;3 775,19;3 857,81;3 899,36;3 911,46;3 914,59;3 917,78;3 933,11;3 943,72;4 027,80;4 003,66;3 960,75;3 954,08;3 931,38;3 840,43;3 727,81
2018-01-9;3 517,81;3 424,35;3 347,70;3 333,82;3 356,43;3 430,61;3 498,65;3 745,69;3 901,92;3 964,34;4 015,46;4 007,18;3 961,17;3 961,31;3 950,90;3 938,69;3 933,46;3 962,18;3 951,08;3 953,57;3 936,46;3 891,82;3 726,05;3 486,70
2018-01-10;3 439,98;3 356,98;3 291,38;3 293,55;3 333,12;3 421,19;3 506,00;3 736,26;3 842,53;3 909,52;3 927,56;3 923,92;3 914,42;3 907,72;3 919,82;3 906,79;3 915,59;3 935,06;3 921,53;3 921,09;3 906,44;3 878,12;3 781,92;3 528,66
2018-01-11;3 433,11;3 329,28;3 240,53;3 224,17;3 315,64;3 405,37;3 466,72;3 614,72;3 816,00;3 904,27;3 933,29;3 926,72;3 894,70;3 897,93;3 918,17;3 912,61;3 914,81;3 934,22;3 923,93;3 921,54;3 895,66;3 806,90;3 610,32;3 516,59
2018-01-12;3 305,85;3 223,33;3 178,05;3 180,16;3 227,66;3 313,37;3 436,39;3 609,68;3 803,50;3 888,08;3 918,19;3 926,57;3 886,95;3 900,16;3 892,14;3 860,81;3 859,73;3 899,44;3 898,00;3 887,40;3 870,22;3 779,29;3 571,38;3 463,77
2018-01-13;3 462,03;3 392,71;3 339,05;3 319,47;3 334,05;3 374,34;3 425,28;3 487,00;3 594,87;3 722,74;3 845,04;3 858,03;3 833,16;3 804,26;3 819,63;3 756,13;3 860,43;3 931,39;3 899,44;3 895,51;3 878,04;3 754,00;3 554,09;3 455,57
